,940,881,823,764,705,646,588,529,470,411,353,294,235,176,118,059,000,-01,sum
940,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
881,0.005,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013
823,0.005,0.008,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026
764,0.005,0.008,0.013,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045
705,0.005,0.008,0.013,0.019,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074
646,0.005,0.008,0.013,0.019,0.028,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113
588,0.005,0.008,0.012,0.019,0.028,0.04,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166
529,0.005,0.008,0.012,0.019,0.028,0.039,0.052,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234
470,0.005,0.008,0.012,0.018,0.027,0.038,0.051,0.069,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.317
411,0.005,0.007,0.011,0.018,0.026,0.037,0.049,0.066,0.086,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.415
353,0.004,0.007,0.011,0.017,0.024,0.034,0.046,0.062,0.08,0.104,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.521
294,0.004,0.006,0.01,0.015,0.022,0.031,0.041,0.056,0.073,0.094,0.12,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.634
235,0.003,0.005,0.008,0.013,0.019,0.027,0.036,0.048,0.063,0.081,0.103,0.14,0.199,0.0,0.0,0.0,0.0,0.0,0.745
176,0.003,0.004,0.007,0.01,0.015,0.021,0.029,0.038,0.05,0.065,0.082,0.112,0.159,0.25,0.0,0.0,0.0,0.0,0.845
118,0.002,0.003,0.005,0.007,0.011,0.015,0.02,0.027,0.035,0.046,0.058,0.08,0.113,0.177,0.325,0.0,0.0,0.0,0.924
059,0.001,0.002,0.003,0.004,0.006,0.008,0.011,0.015,0.019,0.025,0.031,0.043,0.06,0.095,0.174,0.483,0.0,0.0,0.978
000,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.005,0.009,0.024,0.951,0.0,1.0
-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
